rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
10,spotify:track:53iuhJlwXhSER5J2IYYv1W,Taylor Swift,The Fate of Ophelia,Taylor Swift,2,2,2,281216,pop; best of 2025; baroque pop; synthpop; love at first listen; dance-pop; soty; aoty; 2025; art pop,True,,,
28,spotify:track:1jgTiNob5cVyXeJ3WgX5bL,Taylor Swift,Elizabeth Taylor,Taylor Swift,5,5,2,184247,who put katy perry?; pop; baroque pop; soty; halsey,True,The Life of a Showgirl,,
29,spotify:track:3yWuTOYDztXjZxdE2cIRUa,Taylor Swift,Opalite,Taylor Swift,8,8,2,180785,pop; synthpop; soft rock; rnb; christmas; power pop; dance; doo-wop; 90s; experimental,True,,,
42,spotify:track:03bTIHJElXZ0O0jqOQvAbY,Taylor Swift,Father Figure,Taylor Swift,14,14,2,148012,soty; best of 2025; synthpop; pop; female vocalist,True,The Life of a Showgirl,,
48,spotify:track:1appZ3c336FkPvCuywfmrs,Taylor Swift,CANCELLED!,Taylor Swift,20,20,2,142691,pop; soty; rock; female vocalist; singer-songwriter,True,The Life of a Showgirl,,
59,spotify:track:5eXgqtg3T8Av0m1FUaGHex,"Taylor Swift, Sabrina Carpenter",The Life of a Showgirl (feat. Sabrina Carpenter),Taylor Swift,22,22,2,131119,pop; power pop; rnb; disco; acid rock,True,,,
62,spotify:track:62HoDY1Km6lm47haFpUn9c,Taylor Swift,Eldest Daughter,Taylor Swift,18,18,2,129709,pop; 2020s; sad; experimental; ballad,True,The Life of a Showgirl,,
65,spotify:track:2x3mwb96B6TquRqMtbxUE1,Taylor Swift,Actually Romantic,Taylor Swift,21,21,2,127803,pop rock; power pop; best of 2025; ended flopli xcx; disco,True,The Life of a Showgirl,,
70,spotify:track:62V2ZHslgQV98gH4AuVXnr,Taylor Swift,Ruin The Friendship,Taylor Swift,23,23,2,123437,pop; country pop; peter; soft rock; country,True,The Life of a Showgirl,,
71,spotify:track:5ylJtmaWPJ33cW3En7WOu0,Taylor Swift,Wood,Taylor Swift,28,28,2,123396,pop; funk; disco; sexy; 70s,True,The Life of a Showgirl,,
72,spotify:track:2TEQvxxQabwLQMqWMg1qGu,Taylor Swift,Wi$h Li$t,Taylor Swift,27,27,2,122692,pop; synthpop; fav; synth pop; dream,True,The Life of a Showgirl,,
91,spotify:track:4qmFC3Jz5aQ0erlk2OSi2X,Taylor Swift,Honey,Taylor Swift,36,36,2,105197,pop; rnb; soft rock; metal; power pop,True,The Life of a Showgirl,,
